Printing BetweenessCentrality
Printing HITS authority + hub
User jakedouglas = Auth(  0.00267 ) + Hub(  0.00289 ) 
User hellekin = Auth(  0.00007 ) + Hub(  0.02032 ) 
User pietern = Auth(  0.00141 ) + Hub(  0.00000 ) 
User h0h0h0 = Auth(  0.00007 ) + Hub(  0.00029 ) 
User tcaine = Auth(  0.00007 ) + Hub(  0.00162 ) 
User steve918 = Auth(  0.00007 ) + Hub(  0.00025 ) 
User gplloyd = Auth(  0.00021 ) + Hub(  0.00369 ) 
User directeur = Auth(  0.00069 ) + Hub(  0.00133 ) 
User secoif = Auth(  0.00007 ) + Hub(  0.00000 ) 
User erdah = Auth(  0.00007 ) + Hub(  0.00760 ) 
User alexko = Auth(  0.00007 ) + Hub(  0.00144 ) 
User jfuchs = Auth(  0.00007 ) + Hub(  0.00010 ) 
User jordi = Auth(  0.00007 ) + Hub(  0.00014 ) 
